name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Hà Nội, Việt Nam",2025-04-08,26.4,21,23.3,26.4,21,23.3,20.3,83.4,0.2,0,8.33,rain,0,0,33.8,16.9,122.4,1014.5,92.3,15.1,99.8,8.7,3,10,2025-04-08T05:43:45,2025-04-08T18:13:32,0.33,Overcast,Cloudy skies throughout the day.,cloudy,VVNB
"Hà Nội, Việt Nam",2025-04-09,30.7,21.1,25.3,32.9,21.1,25.9,20.9,78.4,0.2,29,8.33,rain,0,0,41.8,25.6,150.4,1010.3,90.9,23.5,156.8,13.5,7,10,2025-04-09T05:42:53,2025-04-09T18:13:51,0.37,Overcast,Cloudy skies throughout the day.,cloudy,
"Hà Nội, Việt Nam",2025-04-10,36,22.4,26.7,38.6,22.4,27.7,21,73.6,0,29,0,,0,0,44.3,28.4,144.2,1005.8,81.5,24.1,249.5,21.6,10,30,2025-04-10T05:42:02,2025-04-10T18:14:10,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Hà Nội, Việt Nam",2025-04-11,33.2,23.8,26,37,23.8,26.8,22.2,81,10.4,25.8,50,rain,0,0,37.1,20.5,135.6,1004.6,68.4,21.4,145.2,12.7,8,30,2025-04-11T05:41:11,2025-04-11T18:14:29,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Hà Nội, Việt Nam",2025-04-12,28.7,20.2,24.7,32.1,20.2,25.4,20.1,77.3,3.1,58.1,29.17,rain,0,0,56.2,32,25.7,1008.5,90.3,23.4,96.6,8.4,6,30,2025-04-12T05:40:21,2025-04-12T18:14:48,0.47,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
"Hà Nội, Việt Nam",2025-04-13,28.3,20.3,23.2,27.3,20.3,23,12.3,52.8,0.1,38.7,4.17,rain,0,0,25.9,14.4,191.9,1016,92.2,24.1,203.5,17.7,8,10,2025-04-13T05:39:31,2025-04-13T18:15:07,0.5,Overcast,Cloudy skies throughout the day.,cloudy,
"Hà Nội, Việt Nam",2025-04-14,28.7,18.8,23.3,28,18.8,23.2,13.1,53.6,0,22.6,0,,0,0,17.4,10,155,1013.6,98.7,24.1,173,15,7,10,2025-04-14T05:38:41,2025-04-14T18:15:27,0.54,Overcast,Cloudy skies throughout the day.,cloudy,
"Hà Nội, Việt Nam",2025-04-15,24.5,21,22.4,24.5,21,22.4,14.5,61.1,0,9.7,0,,0,0,28.1,13.3,305.5,1014.1,95.4,24.1,58.3,5.1,2,10,2025-04-15T05:37:52,2025-04-15T18:15:47,0.57,Overcast,Cloudy skies throughout the day.,cloudy,
"Hà Nội, Việt Nam",2025-04-16,29.9,21,24.5,29.9,21,24.5,16,59.9,0,9.7,0,,0,0,34.9,19.8,170.8,1012.5,73.9,24.1,191.8,16.8,7,10,2025-04-16T05:37:04,2025-04-16T18:16:07,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Hà Nội, Việt Nam",2025-04-17,32.3,20.9,25.5,33.9,20.9,25.8,17.9,64.4,0.4,35.5,8.33,rain,0,0,42.5,24.5,149,1009.8,57.8,22.5,269.4,23.4,8,10,2025-04-17T05:36:16,2025-04-17T18:16:27,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Hà Nội, Việt Nam",2025-04-18,29.7,21.5,25,32,21.5,25.6,20.8,78.6,0.4,32.3,8.33,rain,0,0,35.9,22.7,137.9,1008.9,82.5,24.1,119.1,10.2,4,10,2025-04-18T05:35:29,2025-04-18T18:16:47,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Hà Nội, Việt Nam",2025-04-19,27.8,22.9,24.8,30.8,22.9,25.2,21.9,84.4,0.4,51.6,16.67,rain,0,0,28.1,13.4,117.9,1008.5,95.9,23.9,78.9,7.1,3,10,2025-04-19T05:34:42,2025-04-19T18:17:08,0.71,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
"Hà Nội, Việt Nam",2025-04-20,28.1,23.3,24.9,31,23.3,25.5,22.5,86.5,1.9,51.6,20.83,rain,0,0,25.6,18.4,127.2,1006.6,83.5,24.1,95.8,8.1,4,8,2025-04-20T05:33:56,2025-04-20T18:17:28,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
"Hà Nội, Việt Nam",2025-04-21,26.2,23.3,24.3,26.2,23.3,24.3,23.1,92.7,7.4,45.2,29.17,rain,0,0,23.4,17.6,114.8,1006.5,98.7,22.2,51.6,4.8,2,30,2025-04-21T05:33:11,2025-04-21T18:17:49,0.75,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
